                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.274,                 5.1767,                 2.1424,                      0,                      0,                      0,                      0,                 2.3954,                 5.2519,                 2.3748,              0.0032558,              0.0032558,              0.0032558
                      1,                 2.0458,                 4.9366,                 1.9632,                 0.0064,                0.01873,                0.00456,                0.00173,                 2.9117,                 5.4765,                 2.4061,              0.0065826,              0.0065826,              0.0065826
                      2,                 2.1324,                 4.7898,                 1.9886,                0.80984,                 0.0085,                0.00692,                0.00295,                 2.6633,                 5.1018,                 2.5116,              0.0099028,              0.0099028,              0.0099028
                      3,                 2.3129,                 4.6824,                 2.1387,                0.52587,                0.02114,                0.00473,                0.00197,                 2.9419,                 8.8225,                 2.8083,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.3736,                 4.4509,                 2.1429,                0.50496,                0.03463,                0.00765,                0.00263,                 3.0755,                 8.4481,                 3.0108,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.3373,                 4.3494,                 2.1509,                0.25877,                 0.0667,                 0.0073,                0.00228,                 2.9621,                 12.701,                 3.1868,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3545,                 4.2612,                 2.1699,                0.63854,                0.03235,                0.01853,                0.00657,                 2.7385,                 6.9049,                 2.7006,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.3229,                 4.1501,                 2.1504,                0.28834,                0.13566,                0.03414,                0.01448,                 2.5025,                  5.911,                 2.5405,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2785,                 4.0751,                 2.1308,                0.31277,                0.09998,                0.04316,                0.01684,                 2.5277,                 5.1388,                 2.4458,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2514,                 3.8783,                 2.0826,                 0.3431,                 0.0245,                0.01793,                0.00661,                 2.7394,                 4.8485,                 2.5742,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2062,                 3.8795,                 2.0881,                0.48884,                0.03085,                0.02046,                0.00798,                 2.6719,                 4.3298,                 2.5295,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.2314,                 3.7723,                 2.1136,                0.30988,                0.06511,                0.02829,                0.00943,                 2.6827,                 4.0906,                 2.4537,               0.009901,               0.009901,               0.009901
                     12,                 2.1532,                 3.6589,                 2.0629,                0.33257,                0.12515,                0.06728,                0.02618,                  2.394,                 3.9547,                 2.3124,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.1509,                 3.6902,                 2.0404,                0.56536,                0.08352,                0.07211,                0.03039,                  2.457,                  3.963,                 2.3591,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.1522,                 3.5972,                 2.0357,                0.31232,                0.11512,                 0.0682,                0.02658,                 2.5034,                 4.0344,                 2.4806,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0901,                 3.5374,                 2.0055,                0.33337,                0.14339,                0.10673,                0.04114,                 2.2835,                 3.3801,                 2.2317,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.0926,                 3.4564,                 1.9835,                0.37051,                0.14409,                0.09685,                0.04225,                 2.3379,                 3.3585,                 2.2231,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.0572,                 3.3057,                 1.9699,                0.30443,                  0.205,                0.13248,                0.05936,                 2.1691,                 3.3425,                 2.1213,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.0065,                 3.2779,                 1.9244,                0.28499,                0.19512,                0.12949,                 0.0563,                 2.1743,                 3.5959,                 2.1115,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.0159,                 3.2685,                 1.9199,                 0.3707,                0.18676,                0.14926,                0.06596,                 2.1422,                 3.7099,                 2.0791,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.0405,                 3.2702,                 1.9631,                0.35724,                0.16486,                0.13681,                0.06013,                 2.1771,                 3.6403,                 2.1221,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.9869,                 3.1881,                 1.9093,                0.33221,                0.23166,                0.16315,                0.07387,                 2.1504,                 3.4436,                 2.0891,               0.009802,               0.009802,               0.009802
                     22,                 1.9682,                 3.1605,                 1.9096,                0.23531,                0.23432,                0.14865,                0.06552,                 2.0411,                 4.1623,                 2.0527,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.9371,                 3.0774,                 1.8758,                0.30092,                0.14999,                0.11777,                0.05093,                 2.1171,                 3.3855,                 2.1176,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.9829,                 3.0974,                 1.8864,                0.39293,                0.18352,                0.17879,                 0.0785,                 2.0812,                 3.1416,                 2.0367,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.9277,                 3.0045,                 1.8655,                0.44469,                0.20288,                0.18831,                0.09198,                 2.0745,                 3.1505,                 2.0602,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.9668,                 3.0083,                 1.8787,                0.35673,                0.20783,                0.17312,                0.07961,                 2.1143,                  3.025,                 2.1866,              0.0097525,              0.0097525,              0.0097525
